experiments_all_line,scenario,domain,language_scenario,lang_id,expected_language,agent_llm,normalized_agent_llm,simulation_source,results_json,lang_components,pass_hat_1,pass_hat_2,pass_hat_3,rho_3,user_language_correctness,agent_language_correctness,csv_user_language_correctness,csv_agent_language_correctness,user_turns_total,agent_turns_total,user_non_target_lang_proportion,agent_non_target_lang_proportion,user_drift_turn,agent_drift_turn,user_drift_trial_count,agent_drift_trial_count,user_detected_lang_proportion,agent_detected_lang_proportion,language_detector_warning
123,3-crosslingual,telecom,indonesian,id,id,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260510_004116_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_indonesian,data/simulations/3-crosslingual/20260510_004116_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_indonesian/results.json,,0.3333,0.1696,0.1053,0.316,0.994448,0.852746,0,0.174,3242,3314,ms_0.006,en_0.139|zh_0.005|es_0.002|ja_0.000,23,0.0,15,342,id_0.994|ms_0.006,id_0.853|en_0.139|zh_0.005|es_0.002|ja_0.000,
124,3-crosslingual,telecom,thai,th,th,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260509_204837_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai,data/simulations/3-crosslingual/20260509_204837_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_thai/results.json,,0.2222,0.1082,0.0614,0.276,1.0,0.74887,0,0.295,1903,1991,,en_0.251,,0.0,0,342,th_1.000,th_0.749|en_0.251,
125,3-crosslingual,telecom,vietnamese,vi,vi,openai//project/lt200394-thllmV/jab/seacrowd/models/Qwen/Qwen3-235B-A22B-Instruct-2507-FP8,qwen3-235b-a22b-inst,data/simulations/3-crosslingual/20260509_173928_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese,data/simulations/3-crosslingual/20260509_173928_telecom_llm_agent_Qwen3-235B-A22B-Instruct-2507-FP8_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_vietnamese/results.json,,0.2602,0.1287,0.0614,0.236,1.0,0.80797,0,0.227,2446,2635,,en_0.192,,0.0,0,342,vi_1.000,vi_0.808|en_0.192,
126,3-crosslingual,telecom,chinese,zh,zh,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/3-crosslingual/20260517_153724_telecom_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_chinese,data/simulations/3-crosslingual/20260517_153724_telecom_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_chinese/results.json,,0.9708,0.9474,0.9298,0.958,1.0,0.87551,0,0.163,3019,3189,,en_0.124,,0.0,0,342,zh_1.000,zh_0.876|en_0.124,
127,3-crosslingual,telecom,filipino,tl,tl,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/3-crosslingual/20260517_082423_telecom_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_filipino,data/simulations/3-crosslingual/20260517_082423_telecom_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-tput_crosslingual_filipino/results.json,,0.9708,0.9503,0.9298,0.958,0.991358,0.861945,0.006,0.17,3240,3332,en_0.006|fr_0.001|ro_0.001|eo_0.000,en_0.138,27,0.0,25,342,tl_0.991|en_0.006|fr_0.001|ro_0.001|eo_0.000,tl_0.862|en_0.138,
128,3-crosslingual,telecom,indonesian,id,id,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/3-crosslingual/20260517_092442_telecom_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_indonesian,data/simulations/3-crosslingual/20260517_092442_telecom_llm_agent_qwen3.6-35b-a3b_user_simulator_Qwen3-235B-A22B-Instruct-2507-FP8_crosslingual_indonesian/results.json,,0.9912,0.9854,0.9825,0.991,0.996636,0.887486,0,0.151,3567,3564,ms_0.003,en_0.112|ms_0.001,29.0,0.0,8,342,id_0.997|ms_0.003,id_0.887|en_0.112|ms_0.001,
131,4-translated,airline,chinese,zh,zh,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-16-20-45-18_airline_zh_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-16-20-45-18_airline_zh_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.607,0.493,0.44,0.725,0.994614,0.954733,0.994,0.965,557,729,de_0.002|ko_0.002|sr_0.002,en_0.041|ko_0.004,10,19,3,21,zh_0.995|de_0.002|ko_0.002|sr_0.002,zh_0.955|en_0.041|ko_0.004,
132,4-translated,airline,filipino,tl,tl,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-16-17-08-16_airline_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-16-17-08-16_airline_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.56,0.433,0.38,0.679,0.931559,0.877581,0.951,0.831,526,678,en_0.040|it_0.006|es_0.004|la_0.004|ceb_0.002|et_0.002|id_0.002|no_0.002|pl_0.002|ru_0.002|sah_0.002|si_0.002,en_0.122,9,13,27,83,tl_0.932|en_0.040|it_0.006|es_0.004|la_0.004|ceb_0.002|et_0.002|id_0.002|no_0.002|pl_0.002|ru_0.002|sah_0.002|si_0.002,tl_0.878|en_0.122,
133,4-translated,airline,indonesian,id,id,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-16-13-43-08_airline_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-16-13-43-08_airline_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.6,0.54,0.5,0.833,0.955285,0.846906,0.963,0.796,492,614,en_0.018|sw_0.014|ms_0.004|eo_0.002|es_0.002|fr_0.002|jv_0.002,en_0.151|it_0.002,11,12,17,91,id_0.955|en_0.018|sw_0.014|ms_0.004|eo_0.002|es_0.002|fr_0.002|jv_0.002,id_0.847|en_0.151|it_0.002,
134,4-translated,airline,thai,th,th,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-16-15-12-02_airline_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-16-15-12-02_airline_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.593,0.453,0.36,0.607,0.995246,0.994358,0.993,0.994,631,709,en_0.005,en_0.006,8,16.0,3,4,th_0.995|en_0.005,th_0.994|en_0.006,
135,4-translated,airline,vietnamese,vi,vi,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-16-18-54-35_airline_vi_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-16-18-54-35_airline_vi_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.54,0.4,0.32,0.593,0.986441,0.998632,0.989,0.997,590,731,en_0.005|es_0.005|ca_0.003,en_0.001,16.5,4,6,1,vi_0.986|en_0.005|es_0.005|ca_0.003,vi_0.999|en_0.001,
136,4-translated,airline,chinese,zh,zh,nebius/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/4-translated/2026-05-23-16-30-27_translated_airline_trial-3_zh_nebius-kimi-k2.5_nebius-Qwen3-235B,data/simulations/4-translated/2026-05-23-16-30-27_translated_airline_trial-3_zh_nebius-kimi-k2.5_nebius-Qwen3-235B/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.66,0.507,0.44,0.667,1.0,1.0,1,1,631,1110,,,,,0,0,zh_1.000,zh_1.000,
139,4-translated,airline,thai,th,th,nebius/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/4-translated/2026-05-23-16-16-21_translated_airline_trial-3_th_nebius-kimi-k2.5_nebius-Qwen3-235B,data/simulations/4-translated/2026-05-23-16-16-21_translated_airline_trial-3_th_nebius-kimi-k2.5_nebius-Qwen3-235B/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.547,0.387,0.3,0.548,1.0,1.0,1,1,573,1031,,,,,0,0,th_1.000,th_1.000,
140,4-translated,airline,vietnamese,vi,vi,azure/kimi-k2.5,kimi-k2.5,data/simulations/4-translated/2026-05-23-22-56-00_translated_airline_trial-3_vi_kimi-k2.5_vertex_ai_default_user,data/simulations/4-translated/2026-05-23-22-56-00_translated_airline_trial-3_vi_kimi-k2.5_vertex_ai_default_user/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.56,0.427,0.34,0.607,1.0,1.0,1,1,597,1032,,,,,0,0,vi_1.000,vi_1.000,
141,4-translated,airline,chinese,zh,zh,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-20-21-17-35_translated_airline_trial-3_zh_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-20-21-17-35_translated_airline_trial-3_zh_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"",""agent_system"",""greeting"",""tools"",""policy"",""db"",""tasks""]",0.5,0.473,0.46,0.92,1.0,1.0,1,1,617,717,,,,,0,0,zh_1.000,zh_1.000,
142,4-translated,airline,filipino,tl,tl,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-20-21-17-35_translated_airline_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-20-21-17-35_translated_airline_trial-3_tl_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"",""agent_system"",""greeting"",""tools"",""policy"",""db"",""tasks""]",0.473,0.42,0.4,0.846,0.973765,0.950067,0.976,0.941,648,741,en_0.009|it_0.006|ca_0.005|lt_0.003|hu_0.002|io_0.002,en_0.050,3,16,15,37,tl_0.974|en_0.009|it_0.006|ca_0.005|lt_0.003|hu_0.002|io_0.002,tl_0.950|en_0.050,
143,4-translated,airline,indonesian,id,id,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-20-21-17-35_translated_airline_trial-3_id_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-20-21-17-35_translated_airline_trial-3_id_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"",""agent_system"",""greeting"",""tools"",""policy"",""db"",""tasks""]",0.48,0.44,0.42,0.875,0.991098,0.962963,0.991,0.96,674,783,ca_0.003|ja_0.003|ms_0.003,en_0.037,10.0,16,4,29,id_0.991|ca_0.003|ja_0.003|ms_0.003,id_0.963|en_0.037,
144,4-translated,airline,thai,th,th,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-20-21-17-35_translated_airline_trial-3_th_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-20-21-17-35_translated_airline_trial-3_th_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"",""agent_system"",""greeting"",""tools"",""policy"",""db"",""tasks""]",0.46,0.413,0.38,0.826,1.0,1.0,1,1,579,646,,,,,0,0,th_1.000,th_1.000,
145,4-translated,airline,vietnamese,vi,vi,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-20-21-17-35_translated_airline_trial-3_vi_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-20-21-17-35_translated_airline_trial-3_vi_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"",""agent_system"",""greeting"",""tools"",""policy"",""db"",""tasks""]",0.487,0.46,0.44,0.903,1.0,0.998632,1,0.999,607,731,,en_0.001,,18,0,1,vi_1.000,vi_0.999|en_0.001,
146,4-translated,airline,chinese,zh,zh,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/4-translated/2026-05-18-21-57-05_translated_airline_trial-3_zh_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-18-21-57-05_translated_airline_trial-3_zh_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.553,0.453,0.38,0.687,1.0,1.0,1,0.997,399,489,,,,,0,0,zh_1.000,zh_1.000,
147,4-translated,airline,filipino,tl,tl,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/4-translated/2026-05-18-19-16-28_translated_airline_trial-3_tl_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-18-19-16-28_translated_airline_trial-3_tl_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.667,0.569,0.511,0.766,0.979245,0.912,0.987,0.909,530,625,ca_0.008|it_0.006|ja_0.004|en_0.002|hr_0.002,en_0.088,3.0,16,8,51,tl_0.979|ca_0.008|it_0.006|ja_0.004|en_0.002|hr_0.002,tl_0.912|en_0.088,
148,4-translated,airline,indonesian,id,id,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/4-translated/2026-05-18-14-55-47_translated_airline_trial-3_id_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-18-14-55-47_translated_airline_trial-3_id_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.727,0.64,0.58,0.798,0.989637,0.930939,0.991,0.912,579,724,ca_0.005|ja_0.005,en_0.068|de_0.001,3,16,3,49,id_0.990|ca_0.005|ja_0.005,id_0.931|en_0.068|de_0.001,
149,4-translated,airline,thai,th,th,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/4-translated/2026-05-18-15-31-49_translated_airline_trial-3_th_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-18-15-31-49_translated_airline_trial-3_th_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.547,0.42,0.36,0.658,0.997691,1.0,0.999,1,433,511,it_0.002,,3,,1,0,th_0.998|it_0.002,th_1.000,
150,4-translated,airline,vietnamese,vi,vi,openrouter/qwen/qwen3.6-35b-a3b,qwen3.6-35b-a3b,data/simulations/4-translated/2026-05-18-20-53-11_translated_airline_trial-3_vi_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-18-20-53-11_translated_airline_trial-3_vi_qwen3.6-35b-a3b_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.703,0.627,0.622,0.885,0.998192,1.0,0.998,1,553,660,it_0.002,,3,,1,0,vi_0.998|it_0.002,vi_1.000,
151,4-translated,retail,chinese,zh,zh,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-18-17-24-33_translated_retail_trial-3_zh_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-18-17-24-33_translated_retail_trial-3_zh_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.596,0.45,0.368,0.617,0.978964,0.973166,0.981,0.973,1949,2385,en_0.009|ja_0.004|yue_0.002|de_0.001|fr_0.001|ru_0.001|uk_0.001|es_0.001|hu_0.001|kn_0.001|wuu_0.001,en_0.026|ko_0.001,16.5,19.0,30,48,zh_0.979|en_0.009|ja_0.004|yue_0.002|de_0.001|fr_0.001|ru_0.001|uk_0.001|es_0.001|hu_0.001|kn_0.001|wuu_0.001,zh_0.973|en_0.026|ko_0.001,
152,4-translated,retail,filipino,tl,tl,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-18-10-31-10_translated_retail_trial-3_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-18-10-31-10_translated_retail_trial-3_tl_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.488,0.333,0.263,0.539,0.953527,0.966938,0.958,0.97,1786,1966,en_0.024|ceb_0.004|id_0.003|es_0.002|ja_0.002|war_0.002|hr_0.001|ru_0.001|sh_0.001|bn_0.001|ca_0.001|de_0.001|fr_0.001|io_0.001|it_0.001|lt_0.001|ms_0.001|nl_0.001|ro_0.001|sco_0.001|so_0.001|ug_0.001,en_0.033,13.0,30,64,63,tl_0.954|en_0.024|ceb_0.004|id_0.003|es_0.002|ja_0.002|war_0.002|hr_0.001|ru_0.001|sh_0.001|bn_0.001|ca_0.001|de_0.001|fr_0.001|io_0.001|it_0.001|lt_0.001|ms_0.001|nl_0.001|ro_0.001|sco_0.001|so_0.001|ug_0.001,tl_0.967|en_0.033,
153,4-translated,retail,indonesian,id,id,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-16-01-37-48_retail_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-16-01-37-48_retail_id_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.541,0.392,0.325,0.601,0.961464,0.95027,0.965,0.953,1557,1850,en_0.017|ms_0.006|sw_0.006|es_0.002|sk_0.002|eo_0.001|it_0.001|az_0.001|de_0.001|tr_0.001,en_0.050,17,28,53,91,id_0.961|en_0.017|ms_0.006|sw_0.006|es_0.002|sk_0.002|eo_0.001|it_0.001|az_0.001|de_0.001|tr_0.001,id_0.950|en_0.050,
154,4-translated,retail,thai,th,th,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-18-00-56-17_translated_retail_trial-3_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-18-00-56-17_translated_retail_trial-3_th_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.325,0.175,0.123,0.378,0.996263,0.997132,0.997,0.997,1873,2092,en_0.002|ru_0.001|de_0.001,en_0.003,19.0,7.0,4,6,th_0.996|en_0.002|ru_0.001|de_0.001,th_0.997|en_0.003,
155,4-translated,retail,vietnamese,vi,vi,azure/gpt-5-mini,gpt-5-mini,data/simulations/4-translated/2026-05-18-14-30-34_translated_retail_trial-3_vi_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-18-14-30-34_translated_retail_trial-3_vi_gpt-5-mini_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.585,0.427,0.333,0.569,0.991411,0.997868,0.991,0.998,1630,1876,es_0.002|ca_0.001|de_0.001|en_0.001|fr_0.001|ru_0.001|uk_0.001|war_0.001,en_0.002|tr_0.001,15.0,23.0,12,4,vi_0.991|es_0.002|ca_0.001|de_0.001|en_0.001|fr_0.001|ru_0.001|uk_0.001|war_0.001,vi_0.998|en_0.002|tr_0.001,
156,4-translated,retail,chinese,zh,zh,azure/kimi-k2.5,kimi-k2.5,data/simulations/4-translated/2026-05-19-00-22-12_translated_retail_trial-3_zh_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-19-00-22-12_translated_retail_trial-3_zh_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.607,0.45,0.366,0.603,0.988964,0.999646,0.99,1,1631,2825,de_0.004|ja_0.003|fr_0.002|en_0.001|hu_0.001|sr_0.001,ko_0.000,3.0,32,16,1,zh_0.989|de_0.004|ja_0.003|fr_0.002|en_0.001|hu_0.001|sr_0.001,zh_1.000|ko_0.000,
157,4-translated,retail,filipino,tl,tl,nebius/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/4-translated/2026-05-23-13-48-12_translated_retail_trial-3_tl_nebius-kimi-k2.5_nebius-Qwen3-235B,data/simulations/4-translated/2026-05-23-13-48-12_translated_retail_trial-3_tl_nebius-kimi-k2.5_nebius-Qwen3-235B/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.444,0.292,0.219,0.493,0.935641,0.958861,0.945,0.965,1647,2528,en_0.035|lt_0.007|fr_0.005|de_0.004|id_0.002|ro_0.002|ceb_0.001|io_0.001|it_0.001|als_0.001|gl_0.001|hr_0.001|kk_0.001|la_0.001|ru_0.001|sh_0.001|tr_0.001,en_0.039|ms_0.002|su_0.000,5.0,19,70,81,tl_0.936|en_0.035|lt_0.007|fr_0.005|de_0.004|id_0.002|ro_0.002|ceb_0.001|io_0.001|it_0.001|als_0.001|gl_0.001|hr_0.001|kk_0.001|la_0.001|ru_0.001|sh_0.001|tr_0.001,tl_0.959|en_0.039|ms_0.002|su_0.000,
158,4-translated,retail,indonesian,id,id,nebius/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/4-translated/2026-05-23-13-20-23_translated_retail_trial-3_id_nebius-kimi-k2.5_nebius-Qwen3-235B,data/simulations/4-translated/2026-05-23-13-20-23_translated_retail_trial-3_id_nebius-kimi-k2.5_nebius-Qwen3-235B/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.433,0.287,0.202,0.467,0.975934,0.978876,0.981,0.98,1579,2225,en_0.008|ms_0.007|de_0.004|fr_0.003|gu_0.001|it_0.001|sw_0.001,en_0.020|ms_0.001,3.0,26,28,47,id_0.976|en_0.008|ms_0.007|de_0.004|fr_0.003|gu_0.001|it_0.001|sw_0.001,id_0.979|en_0.020|ms_0.001,
159,4-translated,retail,thai,th,th,nebius/moonshotai/Kimi-K2.5,kimi-k2.5,data/simulations/4-translated/2026-05-23-14-24-20_translated_retail_trial-3_th_nebius-kimi-k2.5_nebius-Qwen3-235B,data/simulations/4-translated/2026-05-23-14-24-20_translated_retail_trial-3_th_nebius-kimi-k2.5_nebius-Qwen3-235B/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.327,0.19,0.114,0.349,0.995228,1.0,0.996,1,1467,2623,de_0.003|en_0.001|ru_0.001,,3.0,,6,0,th_0.995|de_0.003|en_0.001|ru_0.001,th_1.000,
160,4-translated,retail,vietnamese,vi,vi,azure/kimi-k2.5,kimi-k2.5,data/simulations/4-translated/2026-05-18-22-37-59_translated_retail_trial-3_vi_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-18-22-37-59_translated_retail_trial-3_vi_kimi-k2.5_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""agent_system"",""db"",""greeting"",""policy"",""tasks"",""tools"",""user_system""]",0.567,0.392,0.268,0.473,0.992141,0.999591,0.993,0.999,1527,2443,de_0.003|en_0.002|ru_0.002|fr_0.001,en_0.000,3.0,18,10,1,vi_0.992|de_0.003|en_0.002|ru_0.002|fr_0.001,vi_1.000|en_0.000,
161,4-translated,retail,chinese,zh,zh,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen3-235b-a22b-inst,data/simulations/4-translated/2026-05-20-21-17-35_translated_retail_trial-3_zh_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8,data/simulations/4-translated/2026-05-20-21-17-35_translated_retail_trial-3_zh_Qwen3-235B-A22B-Instruct-2507-FP8_Qwen3-235B-A22B-Instruct-2507-FP8/results.json,"[""user_system"",""agent_system"",""greeting"",""tools"",""policy"",""db"",""tasks""]",0.266,0.181,0.149,0.56,0.982792,1.0,0.985,1,1569,1780,en_0.006|de_0.005|fr_0.003|hu_0.002|uk_0.001|es_0.001,,3.0,,22,0,zh_0.983|en_0.006|de_0.005|fr_0.003|hu_0.002|uk_0.001|es_0.001,zh_1.000,
