experiments_all_line,scenario,domain,language_scenario,lang_id,expected_language,agent_llm,normalized_agent_llm,results_json,lang_components,pass_hat_1,pass_hat_2,pass_hat_3,rho_3,user_language_correctness,agent_language_correctness,csv_user_language_correctness,csv_agent_language_correctness,user_turns_total,agent_turns_total,user_non_target_lang_proportion,agent_non_target_lang_proportion,user_drift_turn,agent_drift_turn,user_drift_trial_count,agent_drift_trial_count,user_detected_lang_proportion,agent_detected_lang_proportion,language_detector_warning
135,l2_tools,retail,vietnamese,vi,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_retail_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools/results.json,"[""mixed_tools""]",0.681,0.532,0.43,0.631,0.996533,1.0,0.997,1.0,1442,1743,de_0.001|fa_0.001|fr_0.001|nl_0.001|tl_0.001,,7.0,,5,0,en_0.997|de_0.001|fa_0.001|fr_0.001|nl_0.001|tl_0.001,en_1.000,
136,l2_tools,retail,vietnamese,vi,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_retail_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools/results.json,"[""mixed_tools""]",0.547,0.412,0.351,0.642,0.989017,1.0,0.991,1.0,1730,1948,fr_0.005|de_0.003|id_0.002|ja_0.001,,5.0,,19,0,en_0.989|fr_0.005|de_0.003|id_0.002|ja_0.001,en_1.000,
137,l2_tools,telecom,chinese,zh,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools/results.json,"[""mixed_tools""]",0.705,0.576,0.5,0.709,0.99875,0.999665,0.999,1.0,3199,2987,ko_0.001|es_0.000|fr_0.000,pa_0.000,37.0,18.0,4,1,en_0.999|ko_0.001|es_0.000|fr_0.000,en_1.000|pa_0.000,
138,l2_tools,telecom,chinese,zh,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_zh_tools/results.json,"[""mixed_tools""]",0.222,0.135,0.096,0.432,1.0,0.979534,1.0,0.981,3954,4202,,ko_0.019|si_0.001|la_0.000,,30.0,0,69,en_1.000,en_0.980|ko_0.019|si_0.001|la_0.000,
139,l2_tools,telecom,filipino,tl,en,azure/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools/results.json,"[""mixed_tools""]",0.719,0.594,0.509,0.708,0.998723,1.0,0.999,1.0,3132,2928,ko_0.001,,32.0,,4,0,en_0.999|ko_0.001,en_1.000,
140,l2_tools,telecom,filipino,tl,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_tl_tools/results.json,"[""mixed_tools""]",0.301,0.167,0.105,0.349,0.999725,0.979397,1.0,0.983,3634,3883,ko_0.000,ko_0.019|si_0.001,25.0,24.0,1,53,en_1.000|ko_0.000,en_0.979|ko_0.019|si_0.001,
141,l2_tools,telecom,indonesian,id,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_id_tools/results.json,"[""mixed_tools""]",0.713,0.596,0.518,0.727,0.999339,1.0,0.999,1.0,3025,2839,fr_0.000|ja_0.000,,35.0,,2,0,en_0.999|fr_0.000|ja_0.000,en_1.000,
142,l2_tools,telecom,indonesian,id,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_id_tools/results.json,"[""mixed_tools""]",0.269,0.155,0.105,0.39,0.99917,0.985548,0.999,0.987,3616,3875,ko_0.001,ko_0.013|si_0.001,21.0,22.0,3,41,en_0.999|ko_0.001,en_0.986|ko_0.013|si_0.001,
143,l2_tools,telecom,thai,th,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_th_tools/results.json,"[""mixed_tools""]",0.713,0.588,0.518,0.727,0.998985,1.0,0.999,1.0,2956,2769,ja_0.001|zh_0.000,,29.0,,3,0,en_0.999|ja_0.001|zh_0.000,en_1.000,
144,l2_tools,telecom,thai,th,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_th_tools/results.json,"[""mixed_tools""]",0.339,0.208,0.14,0.413,0.998832,0.990445,0.999,0.993,3425,3663,ko_0.001,ko_0.010,22.0,32.0,4,24,en_0.999|ko_0.001,en_0.990|ko_0.010,
145,l2_tools,telecom,tool_mix_2,tool_mix_2,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi/results.json,"[""mixed_tools""]",0.664,0.541,0.482,0.726,0.999673,0.999649,1.0,1.0,3054,2853,ko_0.000,ja_0.000,43.0,32.0,1,1,en_1.000|ko_0.000,en_1.000|ja_0.000,
146,l2_tools,telecom,tool_mix_2,tool_mix_2,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_bi/results.json,"[""mixed_tools""]",0.298,0.155,0.088,0.295,0.999182,0.983875,0.999,0.985,3666,3907,ko_0.001,ko_0.016|si_0.001,23.0,24.0,3,49,en_0.999|ko_0.001,en_0.984|ko_0.016|si_0.001,
147,l2_tools,telecom,tool_mix_3,tool_mix_3,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri/results.json,"[""mixed_tools""]",0.696,0.558,0.491,0.705,0.99872,1.0,0.999,1.0,3126,2965,ca_0.000|es_0.000|fr_0.000|ko_0.000,,95.0,,4,0,en_0.999|ca_0.000|es_0.000|fr_0.000|ko_0.000,en_1.000,
148,l2_tools,telecom,tool_mix_3,tool_mix_3,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_tri/results.json,"[""mixed_tools""]",0.392,0.213,0.14,0.357,0.998279,0.982978,0.998,0.985,3486,3701,ko_0.002,ko_0.016|si_0.001,19.0,27.0,6,38,en_0.998|ko_0.002,en_0.983|ko_0.016|si_0.001,
149,l2_tools,telecom,tool_mix_4,tool_mix_4,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth/results.json,"[""mixed_tools""]",0.67,0.55,0.491,0.733,0.999358,1.0,1.0,1.0,3116,2888,es_0.000|ko_0.000,,32.0,,2,0,en_0.999|es_0.000|ko_0.000,en_1.000,
150,l2_tools,telecom,tool_mix_4,tool_mix_4,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_fourth/results.json,"[""mixed_tools""]",0.365,0.181,0.105,0.288,1.0,0.985306,1.0,0.987,3471,3675,,ko_0.013|si_0.002,,24.0,0,41,en_1.000,en_0.985|ko_0.013|si_0.002,
151,l2_tools,telecom,tool_mix_5,tool_mix_5,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi/results.json,"[""mixed_tools""]",0.652,0.52,0.465,0.713,1.0,1.0,1.0,1.0,3045,2848,,,,,0,0,en_1.000,en_1.000,
152,l2_tools,telecom,tool_mix_5,tool_mix_5,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_mixed_multi/results.json,"[""mixed_tools""]",0.342,0.181,0.114,0.333,0.999441,0.984135,0.999,0.987,3577,3782,ko_0.001,ko_0.015|si_0.001,25.0,24.0,2,42,en_0.999|ko_0.001,en_0.984|ko_0.015|si_0.001,
153,l2_tools,telecom,vietnamese,vi,en,openai/gpt-5-mini,gpt-5-mini,data/simulations/l2_tools/english_tool_experiments_telecom_gpt-5-mini_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools/results.json,"[""mixed_tools""]",0.664,0.55,0.482,0.726,0.998684,1.0,1.0,1.0,3040,2866,de_0.000|es_0.000|ko_0.000|ru_0.000,,34.0,,2,0,en_0.999|de_0.000|es_0.000|ko_0.000|ru_0.000,en_1.000,
154,l2_tools,telecom,vietnamese,vi,en,vertex_ai/qwen/qwen3-235b-a22b-instruct-2507-maas,qwen-3-235b-it,data/simulations/l2_tools/english_tool_experiments_telecom_qwen3-235b-a22b-instruct-2507-maas_qwen3-235b-a22b-instruct-2507-maas_english_vi_tools/results.json,"[""mixed_tools""]",0.254,0.135,0.088,0.346,0.999734,0.981872,1.0,0.985,3766,4082,ko_0.000,ko_0.017|si_0.001,21.0,30.0,1,53,en_1.000|ko_0.000,en_0.982|ko_0.017|si_0.001,
